Region Code,Region,Commodity description,Estimate,Number of agricultural businesses,Type,Category,Process,Ranking
7,Northern Territory,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",np,11.93,Water use,"Nurseries, cut flowers and cultivated turf ",Area watered (ha),
7,Northern Territory,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",np,11.93,Water use,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML),
7,Northern Territory,Water use - Rice - Total area grown (ha),123.09,1.54,Water use,Rice ,Total area grown (ha),
7,Northern Territory,Water use - Rice - Area watered (ha),123.09,1.54,Water use,Rice ,Area watered (ha),
7,Northern Territory,Water use - Rice - Volume applied (ML),1230.9,1.54,Water use,Rice ,Volume applied (ML),
7,Northern Territory,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",np,2.26,Water use,"Cereals for grain or seed, excluding rice ",Total area grown (ha),
7,Northern Territory,Water use - Cotton - Total area grown (ha) (c),300,1,Water use,Cotton , Total area grown (ha) (c),
7,Northern Territory,Water use - Cotton - Area watered (ha),100,1,Water use,Cotton ,Area watered (ha),
7,Northern Territory,Water use - Cotton - Volume applied (ML),300,1,Water use,Cotton ,Volume applied (ML),
7,Northern Territory,Water use - Other crops n.e.c. - Total area grown (ha) (e),107.51,1.26,Water use,Other crops n.e.c.,Total area grown (ha) (e),
7,Northern Territory,Water use - Other crops n.e.c. - Area watered (ha),4.9,1.23,Water use,Other crops n.e.c.,Area watered (ha),
7,Northern Territory,Water use - Other crops n.e.c. - Volume applied (ML),229.3,1.23,Water use,Other crops n.e.c.,Volume applied (ML),
8,Australian Capital Territory,"Water use - Pastures (including lucerne), cereal and other crops cut for hay and silage - Total area grown (ha)",np,1.3,Water use,Pastures (including lucerne) and cereal crops cut for hay and silage ,Total area grown (ha),
8,Australian Capital Territory,"Water use - Fruit trees, nut trees, plantation or berry fruits - Total area grown (ha)",6.48,4.22,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Total area grown (ha),
8,Australian Capital Territory,"Water use - Fruit trees, nut trees, plantation or berry fruits - Area watered (ha)",6.48,4.22,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Area watered (ha),
8,Australian Capital Territory,"Water use - Fruit trees, nut trees, plantation or berry fruits - Volume applied (ML)",28.16,4.22,Water use,"Fruit trees, nut trees, plantation or berry fruits ",Volume applied (ML),1
8,Australian Capital Territory,Water use - Grapevines - Total area grown (ha),9.3,1,Water use,Grapevines ,Total area grown (ha),
8,Australian Capital Territory,Water use - Grapevines - Area watered (ha),9.3,1,Water use,Grapevines ,Area watered (ha),
8,Australian Capital Territory,Water use - Grapevines - Volume applied (ML),27.9,1,Water use,Grapevines ,Volume applied (ML),
8,Australian Capital Territory,"Water use - Nurseries, cut flowers and cultivated turf - Total area grown (ha)",np,2.41,Water use,"Nurseries, cut flowers and cultivated turf ",Total area grown (ha),
8,Australian Capital Territory,"Water use - Nurseries, cut flowers and cultivated turf - Area watered (ha)",np,2.41,Water use,"Nurseries, cut flowers and cultivated turf ",Area watered (ha),
8,Australian Capital Territory,"Water use - Nurseries, cut flowers and cultivated turf - Volume applied (ML)",np,2.41,Water use,"Nurseries, cut flowers and cultivated turf ",Volume applied (ML),
8,Australian Capital Territory,"Water use - Cereals for grain or seed, excluding rice - Total area grown (ha)",np,2.59,Water use,"Cereals for grain or seed, excluding rice ",Total area grown (ha),
